PovPct,ViolCrime,TeenBrth
20.1,11.2,54.5
7.1,9.1,39.5
16.1,10.4,61.2
14.9,10.4,59.9
16.7,11.2,41.1
8.8,5.8,47
9.7,4.6,25.8
10.3,3.5,46.3
22,65,69.1
16.2,7.3,44.5
12.1,9.5,55.7
10.3,4.7,38.2
14.5,4.1,39.1
12.4,10.3,42.2
9.6,8,44.6
12.2,1.8,32.5
10.8,6.2,43
14.7,7.2,51
19.7,17,58.1
11.2,2,25.4
10.1,11.8,35.4
11,3.6,23.3
12.2,8.5,34.8
9.2,3.9,27.5
23.5,12.9,64.7
9.4,8.8,44.1
15.3,3,36.4
9.6,2.9,37
11.1,10.7,53.9
5.3,1.8,20
7.8,5.1,26.8
25.3,8.8,62.4
16.5,8.5,29.5
12.6,9.4,52.2
12,0.9,27.2
11.5,5.4,39.5
17.1,12.2,58
11.2,4.1,36.8
12.2,6.3,31.6
10.6,3.3,35.6
19.9,7.9,53
14.5,1.8,38
15.5,10.6,54.3
17.4,9,64.4
8.4,3.9,36.8
10.3,2.2,24.2
10.2,7.6,37.6
12.5,5.1,33
16.7,4.9,45.5
8.5,4.3,32.3
12.2,2.1,39.9
